Address,Latitude,Longitude,Annual_GHI,Annual_DNI,Annual_Tilt_Latitude,GHI_jan,GHI_feb,GHI_mar,GHI_apr,GHI_may,GHI_jun,GHI_jul,GHI_aug,GHI_sep,GHI_oct,GHI_nov,GHI_dec,nearest_substation_km,tilt_deg,solar_score,acres,price
"0 County Road 26, Blair, NE 68008",41.508789,-96.1066,4.12,4.45,4.86,1.8,2.64,3.89,5.11,5.85,6.37,6.47,5.56,4.68,3.19,2.22,1.62,1.7982950306167798,3.922807134135185,65.1547773034602,393.0,325000
"0 Duff Rd, Walker, LA 70785",30.513012,-90.883963,4.64,4.37,5.11,2.73,3.56,4.56,5.77,6.29,6.16,5.92,5.76,4.8,4.18,3.27,2.59,0.9572084856977376,1.1377342271786282,64.81940113160539,434.0,1199000
"0 Georgia Tavern Road, Howell, NJ 07731",40.197728,-74.217988,4.03,4.0,4.74,2.03,3.0,4.03,4.89,5.57,5.9,5.99,5.28,4.34,3.19,2.24,1.84,0.7334186962643908,6.631140036810655,49.07708031777519,8.3,150000
"0 Patterson Road, Jackson, NJ 08527",40.15854,-74.393701,4.02,3.99,4.73,2.03,2.99,4.0,4.84,5.57,5.92,5.97,5.27,4.32,3.18,2.23,1.85,0.851005933319818,6.359309633957358,50.80596740371863,4.5,22900
"0 Wolfe Rd, Caledonia, MS 39740",33.68808,-88.321845,4.52,4.4,5.07,2.49,3.27,4.38,5.44,6.15,6.45,6.19,5.87,4.87,3.87,2.91,2.27,2.308951155847757,1.808638850458604,61.61148619787718,450.0,1260000
"110 Thunder Rd, Rock River, WY 82058",41.889459,-105.630053,4.36,5.43,5.1,1.9,2.35,3.71,5.41,6.47,7.15,7.02,6.14,5.05,3.54,2.04,1.42,35.12282600413643,5.083780263220923,49.745887909327436,44.14,86000
"1214 Erve Williams Rd, Moultrie, GA 31768",31.106615,-83.916814,4.78,4.65,5.33,2.95,3.78,4.87,5.99,6.64,6.23,6.2,5.7,4.8,4.14,3.3,2.68,6.366893769956262,2.034148435892846,63.529489928910785,52.0,120000
"1887 Toler Creek Rd, Harold, KY 41635",37.504084,-82.625633,4.02,3.72,4.56,2.02,2.7,3.77,4.82,5.69,5.97,5.73,5.46,4.47,3.3,2.35,1.84,5.802270000003679,28.125505790415737,49.49878624978557,45.0,47000
"19422 NW 282nd St, Okeechobee, FL 34972",27.503349,-81.025599,4.98,4.82,5.49,3.62,4.36,5.3,6.29,6.51,5.85,5.95,5.61,4.91,4.44,3.77,3.17,12.59321226227266,0.0,61.926592067289036,1.25,49750
"1986 Carrs Creek Rd, Townsend, TN 37882",35.727023,-83.720349,4.3,4.09,4.88,2.32,3.03,4.11,5.08,5.93,6.24,5.96,5.72,4.68,3.66,2.67,2.1,5.679390151533267,24.00346486076684,44.20955491178829,18.04,99900
"2 Big Root Rd, Big Bend, WV 26136",38.955721,-81.09783,3.93,3.69,4.48,1.89,2.69,3.68,4.81,5.49,6.01,5.71,5.37,4.44,3.16,2.14,1.67,2.7010387036958945,13.128464222252864,51.262860155620245,72.79,89900
"2002 Willick Rd, Gaylord, MI 49735",45.05431,-84.535114,3.66,3.78,4.25,1.36,2.13,3.4,5.05,5.57,6.08,6.08,5.19,3.97,2.37,1.46,1.21,8.541643825329903,1.3100593481282146,59.080649252583925,190.0,149900
"2120 Harrisonville Ave, Portsmouth, OH 45662",38.766831,-82.941984,4.03,3.87,4.6,1.91,2.79,3.79,4.87,5.61,6.13,5.89,5.58,4.56,3.28,2.18,1.72,1.865037294379517,14.06598469000731,47.807061684487195,20.8,50000
"215 Garden West Rd LOT 24, Conroe, TX 77304",30.318331,-95.519072,4.56,4.25,4.99,2.73,3.31,4.23,5.39,6.03,6.25,6.25,5.86,4.97,4.06,3.08,2.52,2.316012732684796,2.829589547524295,56.8562519264603,5.72,149000
"22511 Resort Creek Road, Foxton, CO 80433",39.444303,-105.257255,4.62,6.21,5.66,2.63,3.62,4.71,5.79,6.29,6.59,6.16,5.3,4.97,3.99,2.94,2.43,10.49255427700311,11.4524128051534,50.03774368236387,378.3,6500000
"254 Tennent Road, Morganville, NJ 07751",40.361271,-74.275783,3.99,3.87,4.66,1.91,2.84,3.93,4.88,5.56,5.96,5.96,5.27,4.35,3.15,2.2,1.77,1.3983438620699191,6.31865008314211,47.61913358225494,5.35,450000
"306 NW 12th Ave, Gainesville, FL 32601",29.663254,-82.327979,4.79,4.63,5.32,3.26,4.01,5.11,6.14,6.57,5.91,5.82,5.36,4.59,4.18,3.56,2.91,1.9460378042404447,5.625933426495119,57.34666092694085,0.16,250000
"3250 310th St, Elmwood, NE 68349",40.847551,-96.279458,4.21,4.56,4.95,1.97,2.75,3.93,5.09,5.96,6.45,6.49,5.7,4.75,3.32,2.28,1.73,4.722622980957118,1.9490519902977643,53.09140997124674,365.0,6250000
"3406 SE 15th Ave, Gainesville, FL 32641",29.637687,-82.282103,4.82,4.7,5.36,3.26,3.98,5.15,6.23,6.62,5.95,5.9,5.44,4.67,4.18,3.55,2.92,3.768535654190072,9.537502708654358,54.45442635208339,1.98,42000
"377 Sinclair Ln, Crossville, TN 38572",35.739811,-85.104778,4.19,4.0,4.63,2.26,2.9,4.01,5.07,5.72,6.15,5.66,5.6,4.63,3.58,2.6,2.04,11.282077980042542,7.138070425984597,45.85967435661991,9.9,64900
"4304 Fm 352, Corrigan, TX 75939",31.014223,-94.757972,4.58,4.39,5.03,2.63,3.28,4.26,5.47,6.05,6.28,6.41,6.08,4.94,4.02,3.02,2.47,4.970683762658298,1.7484787832974549,58.77496597697214,350.31,1785000
"463 Deep Water Dr, Lincoln, NE 68527",40.817592,-96.57928,4.23,4.61,4.99,2.01,2.82,3.96,5.07,5.92,6.48,6.53,5.74,4.78,3.32,2.31,1.73,1.439362857942814,13.834905838389286,45.955031566143006,0.16,109000
"4701 County Road F, Tekamah, NE 68061",41.758327,-96.122296,4.11,4.44,4.84,1.68,2.54,3.93,5.13,5.91,6.3,6.46,5.62,4.64,3.17,2.22,1.58,3.2806275848077764,1.163136249018034,56.53978373299623,23.54,75000
