Address,Solar_Suitability_Score
"SE Hawthorne Rd, Gainesville, FL 32641",73.13197023092228
"SE 3rd Pl LOT 11, Gainesville, FL 32641",73.13189069092229
"SE 12th St LOT 9, Gainesville, FL 32641",72.32832636837111
"NW 7th Ave LOT 7, Gainesville, FL 32603",72.32764141337111
"3406 SE 15th Ave, Gainesville, FL 32641",73.13245772092229
"SE 4th Ave LOT 94, Gainesville, FL 32641",72.3281039283711
"306 NW 12th Ave, Gainesville, FL 32601",72.32736608837112
"242 Florida Ave, Middleton, TN 38052",59.20952057645127
"111 Highway 111, Rancho Mirage, CA 92270",100.0
"19422 NW 282nd St, Okeechobee, FL 34972",77.39152676354566
"13627 Barber Ave, Bonner Springs, KS 66012",56.87606884109232
"238 Saint Charles St E, San Andreas, CA 95249",78.3572507663851
"Three Queens Mine Rd, Foresthill, CA 95631",76.62093032747248
"1376 King Street, Denver, CO 80204",69.74625910928434
"7361 Crystal Boulevard, El Dorado, CA 95623",75.96837527047285
"6561 Orduna Dr, Sebring, FL 33872",78.31680355689753
"Bb, Olney Springs, CO 81062",84.12262021429726
"12825 SE Lincoln St, Portland, OR 97233",30.904651868849815
"832 S 88th St, Lincoln, NE 68520",57.371824017708576
"Brown County, Long Pine, NE 69217",56.84502473929077
"4701 County Road F, Tekamah, NE 68061",52.44323298015079
"0 McLouth Rd, Tonganoxie, KS 66086",57.413057347215855
"463 Deep Water Dr, Lincoln, NE 68527",56.26830195390349
"County Road 496 #B, Champion, MI 49814",37.75456215486778
"County Road 107, Aspermont, TX 79502",83.25074379201268
"Parker St, Hornsby, TN 38044",58.611524145408886
"County Road 210, Pittsboro, MS 38951",62.877258523046706
"939 Cr, Berryville, AR 72616",60.05189635500574
"0 Wolfe Rd, Caledonia, MS 39740",63.32076023773416
"0 Duff Rd, Walker, LA 70785",66.64323981837978
"2418 Ledge Rd, Trent Lakes, ON K0M 1A0",
"County Road 131, Kenedy, TX 78119",69.50262094333732
"853 County Road 50, Ozark, AL 36360",69.11225752600625
"Big Draft Rd, White Sulphur Springs, WV 24986",51.98872968251877
"0 County Road 26, Blair, NE 68008",52.70423020868837
"0 S Broad St, Brooksville, FL 34601",75.71812976484821
"Tuckahoe Rd, White Sulphur Springs, WV 24986",52.528653872000184
"22511 Resort Creek Road, Foxton, CO 80433",72.45433955580178
"State Highway 25 S, Electra, TX 76360",77.24189974555863
"3250 310th St, Elmwood, NE 68349",55.40621096659135
"7304 Shady Ln, Scurry, TX 75158",68.01819902500159
"Woods Rd, Isle, MN 56342",41.52742048178914
"Fm 281, Sunray, TX 79086",84.31317685888108
"County Road 121, Walsenburg, CO 81089",85.04529401069676
"4304 Fm 352, Corrigan, TX 75939",64.34141307063607
"Fm 617, Weinert, TX 76388",81.27635390743606
"47A N Sturbridge Rd, Charlton, MA 01507",45.68028469594011
"County Road 409, Corinth, MS 38834",60.07291955163902
"0 Charles St, Walpole, MA 02081",45.75430306107202
"Memorial Rd, Lone Grove, OK 73443",69.49591539467691
"0 Patterson Road, Jackson, NJ 08527",51.07146278977657
"0 Georgia Tavern Road, Howell, NJ 07731",51.337250989061275
"254 Tennent Road, Morganville, NJ 07751",49.4238399482177
