Address,Latitude,Longitude,Annual_GHI,Annual_DNI,Annual_Tilt_Latitude,GHI_jan,GHI_feb,GHI_mar,GHI_apr,GHI_may,GHI_jun,GHI_jul,GHI_aug,GHI_sep,GHI_oct,GHI_nov,GHI_dec,grid_distance_km
"SE Hawthorne Rd, Gainesville, FL 32641",29.6470209,-82.2977879,4.82,4.7,5.36,3.26,3.98,5.15,6.23,6.62,5.95,5.9,5.44,4.67,4.18,3.55,2.92,27.400992783517374
"SE 3rd Pl LOT 11, Gainesville, FL 32641",29.6486117,-82.2972809,4.82,4.7,5.36,3.26,3.98,5.15,6.23,6.62,5.95,5.9,5.44,4.67,4.18,3.55,2.92,27.584007336395352
"SE 12th St LOT 9, Gainesville, FL 32641",29.6438432,-82.3110767,4.79,4.63,5.32,3.26,4.01,5.11,6.14,6.57,5.91,5.82,5.36,4.59,4.18,3.56,2.91,26.761030435136917
"NW 7th Ave LOT 7, Gainesville, FL 32603",29.6575423,-82.3381443,4.79,4.63,5.32,3.26,4.01,5.11,6.14,6.57,5.91,5.82,5.36,4.59,4.18,3.56,2.91,27.84579805698596
"3406 SE 15th Ave, Gainesville, FL 32641",29.6372711,-82.2886863,4.82,4.7,5.36,3.26,3.98,5.15,6.23,6.62,5.95,5.9,5.44,4.67,4.18,3.55,2.92,26.600993184759012
"SE 4th Ave LOT 94, Gainesville, FL 32641",29.648292,-82.3056953,4.79,4.63,5.32,3.26,4.01,5.11,6.14,6.57,5.91,5.82,5.36,4.59,4.18,3.56,2.91,27.355511715829724
"306 NW 12th Ave, Gainesville, FL 32601",29.6630488,-82.32778,4.79,4.63,5.32,3.26,4.01,5.11,6.14,6.57,5.91,5.82,5.36,4.59,4.18,3.56,2.91,28.575508758233116
"242 Florida Ave, Middleton, TN 38052",35.0627372,-88.8967702,4.39,4.28,4.94,2.27,3.01,4.12,5.33,5.99,6.57,6.09,5.89,4.8,3.72,2.7,2.12,2.7178663863946744
"111 Highway 111, Rancho Mirage, CA 92270",33.7672463,-116.4452122,5.83,7.76,6.74,3.43,4.17,5.84,7.1,8.03,8.39,7.73,7.03,6.23,5.04,3.75,3.16,2.7590061877370773
"19422 NW 282nd St, Okeechobee, FL 34972",27.5031615,-80.9775073,4.97,4.8,5.47,3.6,4.35,5.27,6.31,6.52,5.84,5.95,5.61,4.88,4.43,3.72,3.17,23.557759576276602
