State,Year,Coal,Natural gas,Petroleum,Nuclear,Total renewable energy,TotalEnergy,PercentRenewable,PercentNonRenewable
AK,1960,7189,2034,45410,0,4670,59303,7.874812404094228,92.12518759590577
AL,1960,395400,190706,236010,0,66967,889083,7.5321426683448,92.4678573316552
AR,1960,356,222202,148055,0,40817,411430,9.920764164013319,90.07923583598668
AZ,1960,210,140275,121344,0,14214,276043,5.149197769912658,94.85080223008734
CA,1960,35903,1301826,1836912,1,141733,3316375,4.27373261467717,95.72626738532283
CO,1960,68206,194963,161701,0,9788,434658,2.251885390352875,97.74811460964712
CT,1960,101694,29449,362231,0,14289,507663,2.814662482788779,97.18533751721122
DC,1960,27792,12951,59884,0,133,100760,0.13199682413656214,99.86800317586344
DE,1960,20496,9351,123940,0,4982,158769,3.137892157788989,96.86210784221102
FL,1960,27176,142900,611909,0,33638,815623,4.124209346720237,95.87579065327976
GA,1960,88950,188460,301423,0,79073,657906,12.01889023659915,87.98110976340085
HI,1960,0,0,94547,0,93,94640,0.09826711749788673,99.90173288250212
IA,1960,115945,193688,284968,0,9410,604011,1.5579186471769555,98.44208135282304
ID,1960,16845,22776,73643,0,32388,145652,22.23656386455387,77.76343613544613
IL,1960,914648,536127,1101969,2958,31663,2587365,1.2237546693257426,98.77624533067426
IN,1960,794942,219758,600655,0,23819,1639174,1.453109919996291,98.5468900800037
KS,1960,15724,373664,252417,0,3979,645784,0.6161502917384141,99.38384970826158
KY,1960,286738,153807,200419,0,31402,672366,4.6703729813821635,95.32962701861784
LA,1960,0,1003771,466937,0,38992,1509700,2.5827647877061666,97.41723521229383
MA,1960,118745,80612,804058,394,46135,1049944,4.394043872816074,95.60595612718393
MD,1960,226566,73315,353177,0,28471,681529,4.177518491509532,95.82248150849047
ME,1960,20408,0,152342,0,38883,211633,18.372843554644124,81.62715644535588
MI,1960,653141,382980,713352,0,44186,1793659,2.463455985781021,97.53654401421898
MN,1960,131265,186121,381283,0,28441,727110,3.911512700966841,96.08848729903316
MO,1960,170906,270074,403574,0,36110,880664,4.100315216700126,95.89968478329988
MS,1960,753,187874,142266,0,46565,377458,12.336471872367257,87.66352812763274
MT,1960,3999,57638,106971,0,27312,195920,13.94038383013475,86.05961616986525
NC,1960,231342,47032,418929,0,90780,788083,11.519091263229889,88.48090873677012
ND,1960,30531,27356,101649,0,4090,163626,2.499602752618777,97.50039724738123
NE,1960,20010,140430,136000,0,6379,302819,2.1065388895676955,97.8934611104323
NH,1960,5390,2952,83382,0,15540,107264,14.487619331742243,85.51238066825776
NJ,1960,168775,144132,955611,0,20187,1288705,1.566456248714795,98.4335437512852
NM,1960,4064,207301,106623,0,6864,324852,2.1129622104835435,97.88703778951646
NV,1960,3962,12883,54380,0,7657,78882,9.706903983164727,90.29309601683528
